Part,SN,Config,NO.,Mode,Gloss1,Gloss2,"Gloss_avg1,2",Gloss3,Gloss4,L1.D65,A1.D65,B1.D65,L1.F2,A1.F2,B1.F2,L1.A,A1.A,B1.A,L2.D65,A2.D65,B2.D65,L2.F2,A2.F2,B2.F2,L2.A,A2.A,B2.A,Lvalue,Avalue,Bvalue,"L.F2_avg1,2","A.F2_avg1,2","B.F2_avg1,2","L.A_avg1,2","A.A_avg1,2","B.A_avg1,2",L3.D65,A3.D65,B3.D65,L3.F2,A3.F2,B3.F2,L3.A,A3.A,B3.A,L4.D65,A4.D65,B4.D65,L4.F2,A4.F2,B4.F2,L4.A,A4.A,B4.A,F,Config 2,Items,dye1,dye2,Temp,Time,Na2SO4 (g/L),Dyeing pH,DE*cmc
Kickstand,MJS0000066030335,13,142,SCI,12.95,12.52,12.735,11.82,12.07,86.16,3.88,3.05,86.56,2.43,3.46,86.82,4.25,4.41,86.25,3.87,3.1,86.67,2.42,3.53,86.93,4.24,4.47,86.205,3.875,3.075,86.615,2.425,3.495,86.875,4.245,4.44,85.83,4.05,3.45,86.28,2.51,3.93,86.55,4.47,4.91,85.76,4.1,3.35,86.2,2.55,3.81,86.48,4.51,4.8,11.2,13,−+−−,0.2,0.048,14,5.6,1,6.8,3.85
Kickstand,MJS0000066247781,13,143,SCI,12.32,12.17,12.245,11.07,11.67,85.92,3.95,3.12,86.33,2.48,3.54,86.6,4.34,4.5,86.1,3.88,3.08,86.5,2.43,3.51,86.77,4.25,4.45,86.01,3.915,3.1,86.415,2.455,3.525,86.685,4.295,4.475,85.67,4.02,3.33,86.1,2.51,3.79,86.37,4.44,4.77,85.66,4.04,3.28,86.09,2.52,3.72,86.37,4.45,4.7,11.1,13,−+−−,0.2,0.048,14,5.6,1,6.8,3.84
Kickstand,MJS0000067423657,14,149,SCI,12.7,12.7,12.7,12.04,12.36,85.79,4.53,6.33,86.52,2.67,7.24,86.75,5.09,8.21,86.02,4.4,6.23,86.75,2.59,7.14,86.97,4.94,8.07,85.905,4.465,6.28,86.635,2.63,7.19,86.86,5.015,8.14,85.64,4.63,6.44,86.39,2.72,7.37,86.62,5.19,8.36,85.61,4.67,6.38,86.36,2.75,7.31,86.59,5.23,8.3,12.3,14,A000,0.3,0.04,15,7.0,1,6.8,0.31
Kickstand,MJS0000067310715,14,150,SCI,12.82,12.76,12.79,11.65,12.68,85.63,4.52,6.24,86.36,2.67,7.14,86.59,5.06,8.11,85.82,4.42,6.17,86.55,2.6,7.07,86.77,4.94,8.01,85.725,4.47,6.205,86.455,2.635,7.105,86.68,5.0,8.06,85.41,4.65,6.37,86.16,2.74,7.31,86.39,5.2,8.3,85.46,4.67,6.26,86.21,2.76,7.17,86.44,5.21,8.17,11.1,14,A000,0.3,0.04,15,7.0,1,6.8,0.27
Kickstand,MJS0000067207650,14,151,SCI,13.37,13.23,13.3,12.52,12.95,85.85,4.47,6.2,86.56,2.64,7.1,86.79,5.01,8.05,86.02,4.42,6.22,86.75,2.6,7.13,86.97,4.94,8.06,85.935,4.445,6.21,86.655,2.62,7.115,86.88,4.975,8.055,85.56,4.72,6.56,86.33,2.77,7.51,86.56,5.28,8.52,85.59,4.74,6.39,86.35,2.79,7.32,86.59,5.29,8.34,12.5,14,A000,0.3,0.04,15,7.0,1,6.8,0.24
Kickstand,MJS0000067343192,14,152,SCI,13.23,13.02,13.125,12.48,12.41,85.83,4.47,6.17,86.54,2.64,7.06,86.77,5.01,8.02,85.96,4.46,6.22,86.69,2.63,7.13,86.91,4.98,8.08,85.895,4.465,6.195,86.615,2.635,7.095,86.84,4.995,8.05,85.48,4.77,6.58,86.25,2.81,7.53,86.49,5.33,8.56,85.46,4.78,6.43,86.22,2.82,7.36,86.47,5.34,8.39,11.8,14,A000,0.3,0.04,15,7.0,1,6.8,0.22
Kickstand,MJS0000067423838,14,153,SCI,12.34,12.3,12.32,11.26,11.87,85.78,4.51,6.28,86.53,2.7,7.13,86.76,5.07,8.14,85.96,4.47,6.24,86.71,2.66,7.16,86.94,4.96,8.08,85.87,4.49,6.26,86.62,2.68,7.145,86.85,5.015,8.11,85.55,4.73,6.49,86.29,2.76,7.45,86.53,5.26,8.46,85.53,4.73,6.42,86.32,2.83,7.34,86.57,5.29,8.35,10.8,14,A000,0.3,0.04,15,7.0,1,6.8,0.28
Kickstand,MJS0000067423809,15,161,SCI,12.92,12.53,12.725,12.05,12.31,86.0,4.59,5.75,86.69,2.78,6.6,86.92,5.07,7.59,86.04,4.64,5.89,86.76,2.8,6.78,86.99,5.11,7.76,86.02,4.615,5.82,86.725,2.79,6.69,86.955,5.09,7.675,85.62,4.96,6.69,86.42,2.96,7.67,86.65,5.49,8.73,85.6,4.96,6.53,86.39,2.97,7.5,86.63,5.49,8.55,11.0,15,++−−,0.3,0.048,14,5.6,1,6.8,0.55
Kickstand,MJS0000067423816,15,162,SCI,13.18,12.77,12.975,12.33,12.71,86.14,4.6,5.78,86.84,2.78,6.63,87.07,5.07,7.62,86.23,4.6,5.88,86.95,2.78,6.76,87.18,5.06,7.74,86.185,4.6,5.83,86.895,2.78,6.695,87.125,5.065,7.68,85.77,4.89,6.58,86.56,2.92,7.56,86.79,5.41,8.59,85.74,4.94,6.48,86.53,2.96,7.44,86.76,5.45,8.49,10.8,15,++−−,0.3,0.048,14,5.6,1,6.8,0.51
Kickstand,MJS0000067423613,15,163,SCI,12.13,12.1,12.115,11.12,11.96,85.64,4.8,6.09,86.36,2.9,6.99,86.61,5.31,8.01,85.9,4.68,5.98,86.62,2.83,6.88,86.85,5.17,7.87,85.77,4.74,6.035,86.49,2.865,6.935,86.73,5.24,7.94,85.47,4.9,6.4,86.24,2.95,7.35,86.47,5.43,8.4,85.58,4.88,6.27,86.34,2.93,7.2,86.58,5.4,8.23,11.5,15,++−−,0.3,0.048,14,5.6,1,6.8,0.54
Kickstand,MJS0000067423787,15,164,SCI,12.75,12.68,12.715,12.04,12.82,86.04,4.71,5.97,86.76,2.84,6.85,86.99,5.19,7.86,86.22,4.62,5.93,86.94,2.79,6.81,87.16,5.09,7.79,86.13,4.665,5.95,86.85,2.815,6.83,87.075,5.14,7.825,85.85,4.83,6.39,86.62,2.89,7.34,86.85,5.33,8.37,85.85,4.87,6.29,86.62,2.92,7.23,86.85,5.37,8.26,10.4,15,++−−,0.3,0.048,14,5.6,1,6.8,0.47
Kickstand,MJS0000067423796,15,165,SCI,13.25,13.04,13.145,12.77,12.55,85.98,4.73,5.91,86.66,2.87,6.8,86.93,5.21,7.81,86.15,4.67,5.93,86.85,2.85,6.85,87.05,5.15,7.8,86.065,4.7,5.92,86.755,2.86,6.825,86.99,5.18,7.805,85.73,4.92,6.56,86.51,2.97,7.53,86.71,5.44,8.53,85.71,4.94,6.42,86.47,2.98,7.38,86.71,5.45,8.42,11.3,15,++−−,0.3,0.048,14,5.6,1,6.8,0.56
Kickstand,MJS0000067423847,15,166,SCI,12.76,12.74,12.75,11.4,12.3,85.98,4.61,5.74,86.68,2.78,6.63,86.94,5.05,7.56,86.03,4.69,6.08,86.72,2.81,7.01,86.98,5.15,7.99,86.005,4.65,5.91,86.7,2.795,6.82,86.96,5.1,7.775,85.41,4.9,6.53,86.18,2.98,7.49,86.41,5.45,8.51,85.58,4.93,6.5,86.36,2.96,7.46,86.6,5.46,8.48,11.5,15,++−−,0.3,0.048,14,5.6,1,6.8,0.5
Kickstand,MJS0000067343410,16,173,SCI,12.74,12.58,12.66,11.63,12.54,86.63,4.19,5.58,87.24,2.49,6.38,87.45,4.64,7.3,86.76,4.1,5.53,87.42,2.48,6.34,87.62,4.57,7.2,86.695,4.145,5.555,87.33,2.485,6.36,87.535,4.605,7.25,86.34,4.38,6.03,87.02,2.58,6.93,87.24,4.89,7.84,86.35,4.38,5.91,87.03,2.63,6.81,87.28,4.87,7.73,12.2,16,000a,0.25,0.04,15,5.6,1,6.8,0.56
Kickstand,MJS0000067343440,16,174,SCI,13.46,13.1,13.28,12.97,12.81,86.62,4.19,5.59,87.28,2.5,6.4,87.44,4.65,7.29,86.77,4.14,5.48,87.43,2.48,6.35,87.63,4.56,7.23,86.695,4.165,5.535,87.355,2.49,6.375,87.535,4.605,7.26,86.33,4.41,6.04,87.03,2.58,6.91,87.26,4.86,7.87,86.32,4.43,5.94,87.05,2.59,6.8,87.28,4.87,7.72,11.9,16,000a,0.25,0.04,15,5.6,1,6.8,0.58
Kickstand,MJS0000067423742,16,175,SCI,12.69,12.9,12.795,11.93,13.15,86.57,4.23,5.64,87.24,2.51,6.47,87.44,4.69,7.38,86.8,4.12,5.49,87.47,2.45,6.31,87.66,4.56,7.19,86.685,4.175,5.565,87.355,2.48,6.39,87.55,4.625,7.285,86.27,4.39,5.97,86.99,2.6,6.86,87.19,4.87,7.8,86.45,4.37,5.81,87.16,2.59,6.67,87.37,4.83,7.6,12.4,16,000a,0.25,0.04,15,5.6,1,6.8,0.55
Kickstand,MJS0000067423708,16,176,SCI,13.47,13.14,13.305,13.13,13.2,86.61,4.11,5.47,87.26,2.45,6.27,87.46,4.56,7.15,86.69,4.14,5.55,87.36,2.46,6.37,87.56,4.58,7.26,86.65,4.125,5.51,87.31,2.455,6.32,87.51,4.57,7.205,86.4,4.3,5.93,87.11,2.54,6.82,87.31,4.78,7.73,86.22,4.41,5.93,86.94,2.61,6.82,87.15,4.89,7.75,11.1,16,000a,0.25,0.04,15,5.6,1,6.8,0.6
