Part,SN,Config,NO.,Mode,Gloss1,Gloss2,"Gloss_avg1,2",Gloss3,Gloss4,L1.D65,A1.D65,B1.D65,L1.F2,A1.F2,B1.F2,L1.A,A1.A,B1.A,L2.D65,A2.D65,B2.D65,L2.F2,A2.F2,B2.F2,L2.A,A2.A,B2.A,Lvalue,Avalue,Bvalue,"L.F2_avg1,2","A.F2_avg1,2","B.F2_avg1,2","L.A_avg1,2","A.A_avg1,2","B.A_avg1,2",L3.D65,A3.D65,B3.D65,L3.F2,A3.F2,B3.F2,L3.A,A3.A,B3.A,L4.D65,A4.D65,B4.D65,L4.F2,A4.F2,B4.F2,L4.A,A4.A,B4.A,F,Config 2,Items,dye1,dye2,Temp,Time,Na2SO4 (g/L),Dyeing pH,DE*cmc
Kickstand,MJS0000067384580,25,280,SCI,12,11.97,11.985,11.05,11.95,85.21,5.04,5.47,85.89,3.1,6.27,86.17,5.52,7.39,85.43,4.96,5.44,86.11,3.05,6.24,86.39,5.43,7.34,85.32,5,5.455,86,3.075,6.255,86.28,5.475,7.365,85.09,5.07,5.87,85.81,3.09,6.74,86.08,5.58,7.85,85.15,5.11,5.8,85.87,3.12,6.66,86.15,5.62,7.78,11.2,25,0A00,0.25,0.048,15,7,1,6.8,1.56
Bucket,MJS0000067129049,25,281,SCI,12.88,12.99,12.935,12.5,12.2,85.78,4.91,5.52,86.47,3,6.35,86.74,5.39,7.44,85.75,5.01,5.55,86.45,3.06,6.37,86.72,5.47,7.49,85.765,4.96,5.535,86.46,3.03,6.36,86.73,5.43,7.465,84.6,5.18,6.49,85.37,3.13,7.44,85.65,5.76,8.55,83.63,5.29,6.66,84.41,3.17,7.65,84.69,5.86,8.77,11.4,25,0A00,0.25,0.048,15,7,1,6.8,1.38
Bucket,MJS0000067063273,25,282,SCI,11.86,12.18,12.02,11.7,11.9,85.57,5.06,5.65,86.27,3.09,6.49,86.55,5.55,7.62,85.62,5.06,5.62,86.32,3.09,6.46,86.6,5.53,7.58,85.595,5.06,5.635,86.295,3.09,6.475,86.575,5.54,7.6,84.54,5.35,6.58,85.34,3.23,7.56,85.63,5.91,8.71,84.32,5.38,6.69,85.11,3.24,7.68,85.4,5.95,8.83,12,25,0A00,0.25,0.048,15,7,1,6.8,1.42
Bucket,MJS0000067162761,25,283,SCI,13.04,13.29,13.165,12.9,13.3,86.02,4.75,5.22,86.67,2.91,6,86.94,5.2,7.07,85.96,4.87,5.32,86.63,2.98,6.11,86.89,5.31,7.2,85.99,4.81,5.27,86.65,2.945,6.055,86.915,5.255,7.135,84.79,5.28,6.39,85.56,3.21,7.34,85.85,5.85,8.48,84.47,5.34,6.45,85.24,3.23,7.41,85.53,5.89,8.56,11.1,25,0A00,0.25,0.048,15,7,1,6.8,1.51
Bucket,MJS0000067207008,25,284,SCI,11.91,12.63,12.27,11.9,12.5,85.55,5.04,5.61,86.25,3.09,6.45,86.52,5.53,7.57,85.67,5,5.56,86.37,3.06,6.39,86.64,5.46,7.5,85.61,5.02,5.585,86.31,3.075,6.42,86.58,5.495,7.535,84.09,5.32,6.54,84.88,3.22,7.51,85.17,5.9,8.65,83.28,5.3,6.55,84.05,3.2,7.52,84.34,5.87,8.65,11.7,25,0A00,0.25,0.048,15,7,1,6.8,1.42
Bucket,MJS0000067207328,25,285,SCI,12.21,12.51,12.36,12.1,12.7,86.03,4.93,5.42,86.71,3.02,6.22,86.98,5.38,7.33,86.08,4.92,5.35,86.76,3.01,6.15,87.03,5.36,7.26,86.055,4.925,5.385,86.735,3.015,6.185,87.005,5.37,7.295,84.93,5.31,6.29,85.7,3.22,7.23,85.99,5.83,8.38,84.98,5.35,6.52,85.77,3.22,7.49,86.05,5.88,8.65,10.8,25,0A00,0.25,0.048,15,7,1,6.8,1.51
Bucket,MJS0000067384518,25,286,SCI,11.87,12.62,12.245,12.1,12.9,85.59,4.97,5.47,86.28,3.05,6.29,86.56,5.45,7.4,85.71,4.96,5.45,86.39,3.03,6.26,86.66,5.41,7.36,85.65,4.965,5.46,86.335,3.04,6.275,86.61,5.43,7.38,84.52,5.32,6.36,85.3,3.23,7.3,85.59,5.87,8.45,84.94,5.29,6.47,85.71,3.19,7.43,85.99,5.84,8.57,10.9,25,0A00,0.25,0.048,15,7,1,6.8,1.49
Kickstand,MJS0000067207714,26,287,SCI,11.83,11.81,11.82,10.77,11.22,85.21,4.88,8.51,86.17,2.75,9.76,86.35,5.5,10.72,85.42,4.77,8.48,86.38,2.67,9.73,86.55,5.38,10.66,85.315,4.825,8.495,86.275,2.71,9.745,86.45,5.44,10.69,84.65,5.14,9.18,85.69,2.87,10.53,85.86,5.78,11.52,84.84,5.13,8.98,85.87,2.88,10.3,86.05,5.77,11.3,11.5,26,+−−+,0.3,0.032,14,8.4,1,6.8,2.82
Kickstand,MJS0000067207735,26,288,SCI,12.06,11.95,12.005,11.41,11.62,85.3,4.88,8.54,86.26,2.74,9.79,86.45,5.49,10.75,85.49,4.81,8.53,86.46,2.69,9.79,86.63,5.41,10.73,85.395,4.845,8.535,86.36,2.715,9.79,86.54,5.45,10.74,85.13,5.04,8.98,86.15,2.81,10.31,86.32,5.66,11.28,85.06,5.09,8.92,86.07,2.85,10.23,86.26,5.71,11.22,12.3,26,+−−+,0.3,0.032,14,8.4,1,6.8,2.86
Kickstand,MJS0000067310464,26,289,SCI,12.26,11.85,12.055,11.22,11.65,85.3,4.88,8.53,86.22,2.79,9.82,86.4,5.53,10.75,85.48,4.82,8.53,86.45,2.68,9.76,86.64,5.45,10.73,85.39,4.85,8.53,86.335,2.735,9.79,86.52,5.49,10.74,84.93,5.1,9.12,85.92,2.84,10.44,86.14,5.75,11.43,84.96,5.11,8.99,86.02,2.86,10.28,86.16,5.77,11.28,12.2,26,+−−+,0.3,0.032,14,8.4,1,6.8,2.85
Kickstand,MJS0000067423875,26,290,SCI,12.62,12.3,12.46,11.79,12.06,85.63,4.87,8.61,86.59,2.73,9.87,86.77,5.49,10.82,85.73,4.86,8.69,86.71,2.72,9.97,86.88,5.47,10.91,85.68,4.865,8.65,86.65,2.725,9.92,86.825,5.48,10.865,85.24,5.21,9.46,86.31,2.89,10.85,86.48,5.86,11.87,85.27,5.24,9.28,86.32,2.92,10.64,86.51,5.88,11.66,13.4,26,+−−+,0.3,0.032,14,8.4,1,6.8,2.97
Kickstand,MJS0000067310748,26,291,SCI,12.75,12.43,12.59,11.98,11.77,85.33,4.88,8.43,86.28,2.74,9.68,86.45,5.45,10.61,85.6,4.76,8.35,86.56,2.7,9.62,86.71,5.37,10.53,85.465,4.82,8.39,86.42,2.72,9.65,86.58,5.41,10.57,84.99,5.16,9.1,86.01,2.91,10.47,86.22,5.77,11.42,84.92,5.1,8.78,85.93,2.9,10.09,86.1,5.71,11.05,11.6,26,+−−+,0.3,0.032,14,8.4,1,6.8,2.7
Kickstand,MJS0000067310447,26,292,SCI,12.18,11.86,12.02,11.26,11.61,85.29,4.84,8.43,86.23,2.72,9.66,86.42,5.44,10.61,85.42,4.81,8.47,86.38,2.7,9.72,86.55,5.4,10.65,85.355,4.825,8.45,86.305,2.71,9.69,86.485,5.42,10.63,84.88,5.23,9.45,85.94,2.91,10.84,86.12,5.89,11.85,84.9,5.24,9.23,85.95,2.92,10.58,86.14,5.88,11.6,11.8,26,+−−+,0.3,0.032,14,8.4,1,6.8,2.77
Bucket,MJS0000067062712,26,293,SCI,11.78,12.06,11.92,11.7,11,85.77,4.91,8.56,86.75,2.74,9.83,86.92,5.51,10.8,85.83,4.93,8.6,86.81,2.75,9.87,86.99,5.52,10.84,85.8,4.92,8.58,86.78,2.745,9.85,86.955,5.515,10.82,84.55,5.35,9.55,85.64,2.97,10.98,85.83,6,11.99,84.52,5.47,9.86,85.63,3.03,11.32,85.82,6.15,12.36,11.9,26,+−−+,0.3,0.032,14,8.4,1,6.8,2.86
Bucket,MJS0000067206953,26,294,SCI,11.23,11.85,11.54,11.1,11.8,85.7,4.83,8.31,86.65,2.7,9.55,86.83,5.42,10.51,85.87,4.79,8.24,86.82,2.68,9.46,86.99,5.36,10.41,85.785,4.81,8.275,86.735,2.69,9.505,86.91,5.39,10.46,84.03,5.47,9.74,85.13,3.05,11.19,85.32,6.15,12.22,84.48,5.37,9.57,85.55,2.98,11,85.74,6.02,12.02,11.7,26,+−−+,0.3,0.032,14,8.4,1,6.8,2.55
Bucket,MJS0000067128678,26,295,SCI,12.58,12.9,12.74,12.6,12.5,86.02,4.72,8.22,86.96,2.64,9.45,87.13,5.3,10.38,86.08,4.75,8.18,87.02,2.66,9.4,87.19,5.31,10.34,86.05,4.735,8.2,86.99,2.65,9.425,87.16,5.305,10.36,84.64,5.34,9.47,85.72,2.97,10.89,85.9,5.98,11.91,84.76,5.4,9.64,85.85,2.99,11.08,86.04,6.05,12.11,11.3,26,+−−+,0.3,0.032,14,8.4,1,6.8,2.5
Bucket,MJS0000067063530,26,296,SCI,12.77,12.93,12.85,12.4,12.8,86.05,4.72,8.19,86.99,2.64,9.41,87.16,5.29,10.34,86.05,4.82,8.36,87.01,2.69,9.61,87.18,5.39,10.56,86.05,4.77,8.275,87,2.665,9.51,87.17,5.34,10.45,84.15,5.3,9.62,85.23,2.95,11.06,85.42,5.99,12.04,84.32,5.4,9.75,85.41,2.98,11.2,85.6,6.06,12.22,11.5,26,+−−+,0.3,0.032,14,8.4,1,6.8,2.57
Bucket,MJS0000067128657,26,297,SCI,12.15,12.49,12.32,11.9,11.9,85.9,4.78,8.23,86.85,2.67,9.46,87.02,5.35,10.41,85.94,4.8,8.26,86.89,2.68,9.49,87.06,5.36,10.43,85.92,4.79,8.245,86.87,2.675,9.475,87.04,5.355,10.42,84.84,5.36,9.5,85.93,2.98,10.92,86.11,6,11.94,85.17,5.48,9.76,86.28,3.03,11.23,86.46,6.13,12.26,11.5,26,+−−+,0.3,0.032,14,8.4,1,6.8,2.53
Bucket,MJS0000067206977,26,298,SCI,11.18,11.86,11.52,12.1,11.5,85.5,4.99,8.74,86.49,2.78,10.04,86.68,5.61,11.01,85.69,4.94,8.68,86.67,2.75,9.96,86.85,5.54,10.93,85.595,4.965,8.71,86.58,2.765,10,86.765,5.575,10.97,84.31,5.41,9.63,85.41,3,11.07,85.6,6.06,12.1,84.6,5.38,9.68,85.69,2.98,11.12,85.88,6.04,12.14,11.2,26,+−−+,0.3,0.032,14,8.4,1,6.8,3
